Datetime,Open,High,Low,Close,Adj Close,Volume
2021-04-20 09:30:00,135.02000427246094,135.42999267578125,134.9199981689453,135.39500427246094,135.39500427246094,2768416
2021-04-20 09:31:00,135.39999389648438,135.41949462890625,135.3000030517578,135.30999755859375,135.30999755859375,135743
2021-04-20 09:33:00,134.8699951171875,134.92999267578125,134.75999450683594,134.86500549316406,134.86500549316406,1113732
2021-04-20 09:34:00,134.7899932861328,134.7899932861328,134.77699279785156,134.77699279785156,134.77699279785156,345810
2021-04-20 09:35:00,134.75,134.77999877929688,134.70120239257812,134.70120239257812,134.70120239257812,374968
2021-04-20 09:36:00,134.75,134.9499969482422,134.75,134.92100524902344,134.92100524902344,408413
2021-04-20 09:37:00,134.92990112304688,134.968505859375,134.8699951171875,134.9340057373047,134.9340057373047,343384
2021-04-20 09:38:00,135.0,135.00999450683594,134.80999755859375,134.86000061035156,134.86000061035156,384055
2021-04-20 09:39:00,134.75,134.80690002441406,134.74000549316406,134.79989624023438,134.79989624023438,329286
2021-04-20 09:40:00,134.58999633789062,134.58999633789062,134.49000549316406,134.52999877929688,134.52999877929688,469738
2021-04-20 09:41:00,134.5,134.61000061035156,134.4600067138672,134.52439880371094,134.52439880371094,377999
2021-04-20 09:42:00,134.6486053466797,134.75999450683594,134.61000061035156,134.63999938964844,134.63999938964844,317131
2021-04-20 09:43:00,134.625,134.6300048828125,134.54359436035156,134.5688018798828,134.5688018798828,216190
2021-04-20 09:44:00,134.67999267578125,134.67999267578125,134.6300048828125,134.6300048828125,134.6300048828125,273212
2021-04-20 09:45:00,134.9499969482422,134.9499969482422,134.89999389648438,134.9114990234375,134.9114990234375,410206
2021-04-20 09:46:00,135.0,135.1199951171875,135.0,135.10679626464844,135.10679626464844,572397
2021-04-20 09:47:00,135.0,135.05499267578125,134.92010498046875,135.02999877929688,135.02999877929688,341509
2021-04-20 09:48:00,135.0,135.0500030517578,134.95860290527344,135.02000427246094,135.02000427246094,206621
2021-04-20 09:49:00,135.08999633789062,135.2100067138672,135.08999633789062,135.18499755859375,135.18499755859375,419570
2021-04-20 09:50:00,135.25,135.27000427246094,135.16000366210938,135.16000366210938,135.16000366210938,435766
2021-04-20 09:51:00,135.0509033203125,135.14019775390625,135.00999450683594,135.14019775390625,135.14019775390625,358125
